z,positives,phantom,phantom_frac
0,1486124,1486124,1.0
100,4037761,1034006,0.2560840029907664
200,3964332,1297341,0.32725336828499735
300,3804064,1182466,0.3108428249366993
400,3555440,950772,0.2674133159327678
500,3443415,879422,0.2553923938880443
600,3562993,1067094,0.29949371216839327
700,3616269,1108170,0.3064401459072873
800,3311479,859588,0.2595782730314763
900,3322298,887053,0.2669998296359929
1000,3432006,984995,0.2870027033752272
1100,3537637,1029083,0.29089558934396037
1200,3414628,1035377,0.3032180957925724
1300,3581300,1255301,0.35051545528160166
1400,3378802,1044663,0.3091814791159707
1500,3366828,1045794,0.3106169961756288
1600,4216264,1883132,0.44663522018545326
1700,3809183,1380032,0.3622908114417186
1800,3614258,854888,0.23653209040417147
1900,3882010,877841,0.22613053547002712
2000,3901097,963861,0.24707434857426
2100,4025687,1053611,0.26172203651202885
2200,3938173,1148305,0.2915831782910502
2300,3695630,1118010,0.3025221680741849
2400,3479304,946097,0.27192133829064663
2500,3469200,862583,0.24864032053499366
2600,3332781,905684,0.27175022901294743
2700,3548764,1172663,0.3304426555273893
2800,3747318,1228083,0.32772318762378855
2900,3612581,981478,0.2716833200418205
3000,3657970,1024005,0.2799380530731526
3100,3717408,1218067,0.32766567457755513
3200,3738530,1161752,0.3107510171110035
3300,3679900,1121020,0.30463327807820867
3400,3755274,1094039,0.291334001194054
3500,3760360,1165360,0.3099064983139912
3600,3725221,1035550,0.2779835075556591
3700,3713648,1036683,0.2791548902857783
