z,positives,phantom,phantom_frac
0,0,0,0.0
100,0,0,0.0
200,2511936,2511936,1.0
300,918494,918494,1.0
400,926504,926504,1.0
500,958159,922341,0.9626178953597472
600,935920,928908,0.9925079066586888
700,1846670,1820721,0.9859482203100717
800,624387,590168,0.9451958480878045
900,582552,544137,0.9340573888682898
1000,503988,462025,0.916738096938816
1100,494893,456339,0.9220962915216017
1200,603525,563725,0.9340540988360051
1300,547803,509536,0.9301445957762188
1400,802883,759963,0.946542646936104
1500,721962,676166,0.9365672985558797
1600,918029,872390,0.9502858842149867
1700,859344,808846,0.9412365711519485
1800,917695,865123,0.9427129928788976
1900,867816,810639,0.9341139135484942
2000,1127943,1069037,0.9477757298019492
2100,1044864,984778,0.9424939513659194
2200,824343,763597,0.9263098006533688
2300,829734,772760,0.9313346204928327
2400,1006084,945786,0.9400666345951233
2500,831840,773049,0.9293241488747837
2600,808858,757238,0.9361816289138514
2700,759772,708409,0.932396824310451
2800,795201,746805,0.9391399155685166
2900,645936,597640,0.9252309826360506
3000,636756,589107,0.9251691385711325
3100,688002,642532,0.9339100758428028
3200,762288,714784,0.9376823457800726
3300,676647,633974,0.9369346202672886
3400,736909,697851,0.9469975261531614
3500,664557,632030,0.9510546123206888
3600,885520,849991,0.9598778119071281
3700,632511,609668,0.9638852130634882
3800,654431,636736,0.9729612441953391
3900,549032,534458,0.9734550991563333
4000,548896,536244,0.9769500961930857
4100,481080,473638,0.9845306393946953
4200,501901,499422,0.9950607789185517
