z,positives,phantom,phantom_frac
0,0,0,0.0
100,0,0,0.0
200,0,0,0.0
300,0,0,0.0
400,2359296,2359296,1.0
500,2359296,2359296,1.0
600,3147952,3147952,1.0
700,1896681,1896057,0.9996710042437289
800,2232792,2028425,0.9084702023296393
900,2036597,1664652,0.8173693666444564
1000,2233101,1813194,0.8119623787728365
1100,2028020,1548581,0.7635925681206299
1200,2523568,1964888,0.7786150402921578
1300,2231927,1632985,0.7316480332914114
1400,2083201,1432652,0.6877166437612117
1500,2077505,1374715,0.6617144122396817
1600,2053086,1339989,0.6526706626025408
1700,2066117,1349265,0.6530438498884623
1800,2234689,1527613,0.683590871033956
1900,2264593,1553045,0.6857943127087296
2000,2259758,1538798,0.6809569874296274
2100,2254586,1549088,0.6870831274566594
2200,2224734,1515378,0.6811501959335363
2300,2171495,1463325,0.6738790556736258
2400,2116334,1380573,0.6523417381188413
2500,2151417,1426417,0.6630127957527527
2600,2191406,1460590,0.6665081687282046
2700,2469760,1753225,0.7098766681782845
2800,2437199,1735729,0.7121818940513269
2900,2340417,1626371,0.6949065059773536
3000,2379382,1662721,0.698803722983531
3100,2244722,1534803,0.6837385653991898
3200,2420378,1704855,0.7043755148989125
3300,2234911,1524048,0.6819278262087394
3400,2249485,1536041,0.6828411836487018
3500,2223632,1503333,0.6760709505889464
3600,2023210,1310187,0.6475783532109866
3700,2017544,1302794,0.6457326333403386
3800,2016990,1311152,0.6500537930282252
3900,1980102,1269752,0.6412558544963846
4000,1931046,1189769,0.6161267002443236
4100,2227102,1465279,0.657930799756814
4200,2110997,1342961,0.6361738079210913
4300,2271088,1505046,0.6626982309800413
4400,2318665,1523213,0.6569353485734248
4500,2412991,1634612,0.6774215071668316
4600,2390443,1649562,0.6900653979199671
4700,2346363,1549087,0.660207734267886
4800,2268429,1455760,0.6417480996760313
4900,2387350,1632136,0.6836601252434708
5000,2399260,1677069,0.6989942732342472
5100,2296295,1544896,0.6727776701164266
5200,2269080,1504173,0.6628999418266434
5300,2189774,1427517,0.6519015204308756
5400,2250569,1503397,0.6680075127667714
5500,2214032,1458756,0.6588685258388316
5600,2285275,1534230,0.6713546509719837
5700,2266431,1518416,0.6699590678030789
5800,2252208,1530099,0.679377304405277
5900,2317801,1548455,0.6680707273834121
6000,2110813,1363341,0.645884310926643
6100,2117513,1372282,0.6480630815489681
6200,2117819,1400928,0.6614956235636756
6300,2380841,1661724,0.6979567304158488
6400,2093185,1377305,0.6579948738405826
6500,2026133,1301624,0.6424178471995668
6600,2172135,1400194,0.6446164718122953
6700,2188493,1399558,0.6395076429305463
6800,2153730,1381545,0.6414662004986698
6900,2215819,1441294,0.6504565580491909
7000,2205782,1464176,0.6637899846857033
7100,2200194,1454410,0.6610371630865278
7200,2250530,1465516,0.6511870537162358
7300,2296960,1469525,0.6397695214544441
7400,2236134,1397496,0.6249607581656555
7500,2362395,1517612,0.6424040010243841
7600,2441020,1527350,0.6257015509909791
7700,2402139,1421745,0.5918662492053957
7800,2419970,1413544,0.5841163320206448
7900,2404698,1450395,0.6031505827342976
8000,2549065,1501822,0.5891658313930794
8100,2121147,1328878,0.6264902903947722
8200,1925471,1603718,0.8328964705259129
8300,1495238,1422414,0.9512960478532515
